param_SVM__n_iter,test acc,train acc
1,0.8722942582050743,0.8767361426663257
4,0.8962824601166632,0.8921217584968854
7,0.8945836847283716,0.8943761640087583
10,0.9060259856630825,0.8979448820774055
13,0.9189375571016937,0.9053872678091572
16,0.9196271698643614,0.9147633570951673
19,0.9119513844964511,0.9113077329158552
22,0.9229357737718745,0.9269427611630737
25,0.9177889345702439,0.9246396848881117
28,0.9164086109354137,0.9104237829986763
31,0.9281737560615645,0.9198574289962232
34,0.9205913100007028,0.9280549183926612
37,0.9246356472696606,0.9270489886376992
40,0.9154444707990723,0.9279747429032574
43,0.9227051707779885,0.9305759023579673
46,0.9197183129524212,0.9307554389072868
49,0.9270251335301147,0.929332879342149
52,0.9339640874270855,0.9284681149954823
55,0.9212809227633706,0.9321519464872027
58,0.9266122443601097,0.9329940920560025
61,0.9239460345069929,0.9280932895336855
64,0.9296902452737368,0.9314440999119886
67,0.9253702825216108,0.9291410236370267
70,0.9227512913767658,0.9295925913808724
73,0.9258303903998875,0.9287819505383873
