,test acc,train acc
1,0.704504226,0.71083084
4,0.890953335,0.885233735
7,0.855377881,0.845460633
10,0.903999974,0.902684728
13,0.91650195,0.915260162
16,0.847346309,0.837498016
19,0.921693812,0.915385575
22,0.862409077,0.861634271
25,0.906531116,0.906956446
28,0.917328827,0.917095919
31,0.920545189,0.918419117
34,0.908917308,0.906743385
37,0.919855577,0.916510052
40,0.89228644,0.894888722
43,0.859008231,0.854109691
46,0.920269564,0.918694581
49,0.91948771,0.91418779
52,0.922934676,0.917829817
55,0.908963429,0.908732625
58,0.906531116,0.906837899
61,0.918936459,0.918304004
64,0.894992181,0.889961261
67,0.831985953,0.823457006
70,0.9139752,0.913462777
73,0.918983678,0.916579928
