param_SVM__n_iter,test acc,train acc
1,0.8295986629418792,0.8321656389259474
2,0.8333212541288917,0.8345297051198007
4,0.49779279991566516,0.4999301241326607
8,0.854553201208799,0.8580710059984191
16,0.8482610338042026,0.8480102947751835
32,0.8355767710309931,0.8414409534784246
64,0.8597911834984892,0.8638886768378463
128,0.5096952087286528,0.5127214469232201
256,0.8313984644036826,0.8254351388368858
512,0.8767965071333192,0.865764823680568
1024,0.8727521698643617,0.8763298124782142
2048,0.8758312688874833,0.8718161545734967
